Membership No  Date Joined  Active  
    84755      2017-11-21   yes   
    89672      2018-6-20    yes   
    88229      2018-4-14    yes   
    48610      2017-11-24   yes   
    23572      2015-7-19    yes   
    56179      2018-12-6    yes   
    49018      2020-8-10    yes   
    52889      2017-11-7    yes   
    11094      2020-9-13    yes   
    58537      2017-1-7     yes   
    49480      2018-6-23    yes   
    36935      2016-5-21    yes   
    23143      2020-11-4    yes   
    16590      2018-9-1     yes   
